domain,bakshy_avg_align,bakshy_l2,bakshy_l1,bakshy_n,bakshy_r1,bakshy_r2,bakshy_is_news
amazon.com,0.0362,0.1249,0.1045,0.3318,0.2043,0.2345,0
america.aljazeera.com,-0.7362,0.6974,0.2804,0.02,0.0018,0.0004,1
americannews.com,0.8651,0.0,0.0,0.0,0.4532,0.5468,1
americanoverlook.com,0.8311,0.0,0.0,0.0015,0.6537,0.3448,1
americanthinker.com,0.9112,0.0003,0.0,0.0021,0.2326,0.765,1
americasfreedomfighters.com,0.8523,0.0,0.0,0.0006,0.6225,0.3769,1
anonhq.com,-0.4102,0.0005,0.8179,0.1816,0.0,0.0,1
aol.com,0.0133,0.1762,0.2883,0.3116,0.1765,0.0474,1
app.actionsprout.com,-0.6993,0.5989,0.3427,0.0102,0.0338,0.0144,1
armytimes.com,0.4171,0.0001,0.0039,0.1808,0.8134,0.0018,1
atlantablackstar.com,-0.7055,0.4158,0.5792,0.0047,0.0,0.0003,1
attn.com,-0.7747,0.4775,0.522,0.0,0.0005,0.0,1
azcentral.com,-0.1731,0.2588,0.2675,0.2794,0.1725,0.0218,1
azfamily.com,0.0439,0.0201,0.1375,0.5371,0.2922,0.0131,1
baltimoresun.com,-0.1321,0.0959,0.3362,0.2029,0.3162,0.0488,1
bangordailynews.com,-0.1732,0.1389,0.1918,0.3944,0.236,0.039,1
barackobama.com,-0.8077,0.988,0.0114,0.0,0.0006,0.0,1
barenakedislam.com,0.8589,0.0,0.0,0.0106,0.4226,0.5667,1
barracudabrigade.net,0.9381,0.0,0.0,0.0021,0.2317,0.7662,1
battleforthenet.com,-0.5612,0.0,1.0,0.0,0.0,0.0,1
baynews9.com,0.0586,0.033,0.1161,0.4403,0.3937,0.0169,1
bbc.co.uk,-0.3313,0.0784,0.5507,0.336,0.0284,0.0065,1
bbc.com,-0.2609,0.1099,0.474,0.3527,0.0551,0.0083,1
bearingarms.com,0.77,0.0,0.0,0.0,0.9525,0.0475,1
beforeitsnews.com,0.5876,0.0052,0.0638,0.1368,0.6653,0.1289,1
benswann.com,0.4846,0.001,0.0287,0.2702,0.6719,0.0283,1
bigstory.ap.org,-0.2022,0.3084,0.2015,0.224,0.1324,0.1337,1
billmoyers.com,-0.839,0.9448,0.0549,0.0004,0.0,0.0,1
bizpacreview.com,0.9142,0.0,0.0,0.0001,0.1646,0.8352,1
blackamericaweb.com,-0.7772,0.9077,0.0796,0.0122,0.0005,0.0,1
blogs.wsj.com,-0.0746,0.1248,0.195,0.2316,0.404,0.0445,1
bloomberg.com,-0.1565,0.1124,0.2377,0.3086,0.223,0.1183,1
bluenationreview.com,-0.8883,0.9771,0.0226,0.0003,0.0,0.0,1
boingboing.net,-0.7779,0.6098,0.356,0.0319,0.0012,0.0011,1
bostonglobe.com,-0.4446,0.3414,0.3056,0.2657,0.0756,0.0118,1
brainfall.com,-0.0483,0.0005,0.0005,0.56,0.439,0.0,1
breakingisraelnews.com,0.7086,0.0,0.0012,0.0101,0.8687,0.12,1
breitbart.com,0.9136,0.0001,0.0003,0.0052,0.2169,0.7775,1
briefly.today,-0.3198,0.0921,0.0142,0.8471,0.0,0.0465,1
businessinsider.com,-0.0585,0.0562,0.2693,0.4515,0.144,0.0789,1
businessweek.com,-0.2615,0.16,0.3551,0.3364,0.1224,0.0261,1
buzzfeed.com,-0.5242,0.2537,0.4295,0.2777,0.0337,0.0054,1
buzzpo.com,0.976,0.0,0.0003,0.0,0.0217,0.9779,1
c-span.org,-0.0442,0.1102,0.3374,0.2087,0.2203,0.1234,1
caintv.com,0.934,0.0,0.0,0.0,0.0237,0.9762,1
capitalisminstitute.org,0.9044,0.0,0.0,0.0,0.0234,0.9766,1
catholicnewsagency.com,0.5209,0.0003,0.0293,0.2101,0.7088,0.0515,1
cbsnews.com,-0.127,0.1373,0.2552,0.4506,0.1309,0.0259,1
change.org,-0.3442,0.2275,0.2548,0.243,0.2301,0.0447,1
